market_question,category,themes,odds_timestamp,odds_prev,odds_curr,odds_delta,direction,side,ticker,entry_price,entry_time,liquidity,end_date,pnl_1h,exit_1h_price,win_1h,pnl_4h,exit_4h_price,win_4h
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-18T16:00:41+00:00,0.1695,0.232,0.0625,up,SELL,VNQ,92.84500122070312,2026-03-18 16:30:00,14117.41688,2026-12-09T00:00:00Z,0.0646,92.78500366210938,1,1.3733,91.56999969482422,1
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-18T16:00:41+00:00,0.1695,0.232,0.0625,up,SELL,TLT,87.23999786376953,2026-03-18 16:30:00,14117.41688,2026-12-09T00:00:00Z,-0.2465,87.45500183105469,0,-0.0516,87.28500366210938,0
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-18T16:00:41+00:00,0.1695,0.232,0.0625,up,SELL,XLF,49.20759963989258,2026-03-18 16:30:00,14117.41688,2026-12-09T00:00:00Z,-0.0161,49.21549987792969,0,1.3465,48.54499816894531,1
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-19T18:00:44+00:00,0.369,0.4015,0.03250000000000003,up,SELL,VNQ,91.65499877929688,2026-03-19 18:30:00,14117.41688,2026-12-09T00:00:00Z,0.06,91.5999984741211,1,1.5438,90.23999786376953,1
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-19T18:00:44+00:00,0.369,0.4015,0.03250000000000003,up,SELL,TLT,87.59500122070312,2026-03-19 18:30:00,14117.41688,2026-12-09T00:00:00Z,0.1142,87.49500274658203,1,1.564,86.2249984741211,1
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-19T18:00:44+00:00,0.369,0.4015,0.03250000000000003,up,SELL,XLF,48.974998474121094,2026-03-19 18:30:00,14117.41688,2026-12-09T00:00:00Z,-0.0102,48.97999954223633,0,0.0531,48.94900131225586,1
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-19T20:00:41+00:00,0.4,0.349,-0.051000000000000045,down,BUY,VNQ,91.5999984741211,2026-03-19 19:30:00,14117.41688,2026-12-09T00:00:00Z,-1.4847,90.23999786376953,0,-1.4847,90.23999786376953,0
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-19T20:00:41+00:00,0.4,0.349,-0.051000000000000045,down,BUY,TLT,87.49500274658203,2026-03-19 19:30:00,14117.41688,2026-12-09T00:00:00Z,-1.4515,86.2249984741211,0,-1.4515,86.2249984741211,0
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-19T20:00:41+00:00,0.4,0.349,-0.051000000000000045,down,BUY,XLF,48.97999954223633,2026-03-19 19:30:00,14117.41688,2026-12-09T00:00:00Z,-0.0633,48.94900131225586,0,-0.0633,48.94900131225586,0
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-23T16:00:31+00:00,0.2515,0.2915,0.03999999999999998,up,SELL,VNQ,89.97000122070312,2026-03-23 16:30:00,14117.41688,2026-12-09T00:00:00Z,-0.2834,90.2249984741211,0,1.5783,88.55000305175781,1
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-23T16:00:31+00:00,0.2515,0.2915,0.03999999999999998,up,SELL,TLT,86.20500183105469,2026-03-23 16:30:00,14117.41688,2026-12-09T00:00:00Z,-0.2494,86.41999816894531,0,0.2726,85.97000122070312,1
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-23T16:00:31+00:00,0.2515,0.2915,0.03999999999999998,up,SELL,XLF,49.35499954223633,2026-03-23 16:30:00,14117.41688,2026-12-09T00:00:00Z,-0.4069,49.55580139160156,0,0.5572,49.08000183105469,1
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-24T15:00:40+00:00,0.2515,0.315,0.0635,up,SELL,VNQ,88.69000244140625,2026-03-24 15:30:00,14117.41688,2026-12-09T00:00:00Z,0.2907,88.43219757080078,1,0.9133,87.87999725341797,1
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-24T15:00:40+00:00,0.2515,0.315,0.0635,up,SELL,TLT,86.12999725341797,2026-03-24 15:30:00,14117.41688,2026-12-09T00:00:00Z,0.4354,85.75499725341797,1,0.1335,86.01499938964844,1
Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,fed-rate,fed_rate,2026-03-24T15:00:40+00:00,0.2515,0.315,0.0635,up,SELL,XLF,49.51499938964844,2026-03-24 15:30:00,14117.41688,2026-12-09T00:00:00Z,0.2928,49.369998931884766,1,0.4726,49.28099822998047,1
Will the upper bound of the target federal funds rate be 3.5% at the end of 2026?,fed-rate,fed_rate,2026-03-19T20:00:39+00:00,0.3,0.335,0.03500000000000003,up,SELL,VNQ,91.5999984741211,2026-03-19 19:30:00,13501.6602,2026-12-09T00:00:00Z,1.4847,90.23999786376953,1,1.4847,90.23999786376953,1
Will the upper bound of the target federal funds rate be 3.5% at the end of 2026?,fed-rate,fed_rate,2026-03-19T20:00:39+00:00,0.3,0.335,0.03500000000000003,up,SELL,TLT,87.49500274658203,2026-03-19 19:30:00,13501.6602,2026-12-09T00:00:00Z,1.4515,86.2249984741211,1,1.4515,86.2249984741211,1
Will the upper bound of the target federal funds rate be 3.5% at the end of 2026?,fed-rate,fed_rate,2026-03-19T20:00:39+00:00,0.3,0.335,0.03500000000000003,up,SELL,XLF,48.97999954223633,2026-03-19 19:30:00,13501.6602,2026-12-09T00:00:00Z,0.0633,48.94900131225586,1,0.0633,48.94900131225586,1
Will the upper bound of the target federal funds rate be 3.5% at the end of 2026?,fed-rate,fed_rate,2026-03-25T16:00:30+00:00,0.3,0.265,-0.034999999999999976,down,BUY,VNQ,88.24500274658203,2026-03-25 16:30:00,13501.6602,2026-12-09T00:00:00Z,-0.391,87.9000015258789,0,0.0397,88.27999877929688,1
Will the upper bound of the target federal funds rate be 3.5% at the end of 2026?,fed-rate,fed_rate,2026-03-25T16:00:30+00:00,0.3,0.265,-0.034999999999999976,down,BUY,TLT,86.70999908447266,2026-03-25 16:30:00,13501.6602,2026-12-09T00:00:00Z,-0.0058,86.70500183105469,0,-0.2595,86.48500061035156,0
Will the upper bound of the target federal funds rate be 3.5% at the end of 2026?,fed-rate,fed_rate,2026-03-25T16:00:30+00:00,0.3,0.265,-0.034999999999999976,down,BUY,XLF,49.42499923706055,2026-03-25 16:30:00,13501.6602,2026-12-09T00:00:00Z,-0.1315,49.36000061035156,0,-0.1113,49.369998931884766,0
Will the upper bound of the target federal funds rate be ≥ 4.5% at the end of 2026?,fed-rate,fed_rate,2026-03-18T14:00:47+00:00,0.0615,0.107,0.0455,up,SELL,VNQ,92.5250015258789,2026-03-18 14:30:00,12098.29041,2026-12-09T00:00:00Z,-0.3296,92.83000183105469,0,0.1135,92.41999816894531,1
Will the upper bound of the target federal funds rate be ≥ 4.5% at the end of 2026?,fed-rate,fed_rate,2026-03-18T14:00:47+00:00,0.0615,0.107,0.0455,up,SELL,TLT,87.2699966430664,2026-03-18 14:30:00,12098.29041,2026-12-09T00:00:00Z,-0.0917,87.3499984741211,0,0.3037,87.00499725341797,1
Will the upper bound of the target federal funds rate be ≥ 4.5% at the end of 2026?,fed-rate,fed_rate,2026-03-18T14:00:47+00:00,0.0615,0.107,0.0455,up,SELL,XLF,49.30500030517578,2026-03-18 14:30:00,12098.29041,2026-12-09T00:00:00Z,0.0203,49.29499816894531,1,0.5375,49.040000915527344,1
Will no Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-16T16:00:33+00:00,0.2095,0.166,-0.04349999999999998,down,BUY,VNQ,93.18499755859375,2026-03-16 16:30:00,55516.94306,2026-12-31T00:00:00Z,0.0751,93.25499725341797,1,0.4774,93.62989807128906,1
Will no Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-16T16:00:33+00:00,0.2095,0.166,-0.04349999999999998,down,BUY,TLT,87.08499908447266,2026-03-16 16:30:00,55516.94306,2026-12-31T00:00:00Z,0.2124,87.2699966430664,1,0.3732,87.41000366210938,1
Will no Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-16T16:00:33+00:00,0.2095,0.166,-0.04349999999999998,down,BUY,XLF,49.22999954223633,2026-03-16 16:30:00,55516.94306,2026-12-31T00:00:00Z,0.0813,49.27000045776367,1,1.105,49.77399826049805,1
Will no Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-19T13:00:37+00:00,0.29,0.331,0.041000000000000036,up,SELL,VNQ,91.56999969482422,2026-03-19 13:30:00,55516.94306,2026-12-31T00:00:00Z,-0.1529,91.70999908447266,0,0.4368,91.16999816894531,1
Will no Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-19T13:00:37+00:00,0.29,0.331,0.041000000000000036,up,SELL,TLT,87.28500366210938,2026-03-19 13:30:00,55516.94306,2026-12-31T00:00:00Z,-0.1432,87.41000366210938,0,-0.1031,87.375,0
Will no Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-19T13:00:37+00:00,0.29,0.331,0.041000000000000036,up,SELL,XLF,48.54499816894531,2026-03-19 13:30:00,55516.94306,2026-12-31T00:00:00Z,-0.5047,48.790000915527344,0,-0.2678,48.67499923706055,0
Will no Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-26T18:00:44+00:00,0.274,0.3345,0.0605,up,SELL,VNQ,87.62999725341797,2026-03-26 18:30:00,55516.94306,2026-12-31T00:00:00Z,-0.1027,87.72000122070312,0,,,
Will no Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-26T18:00:44+00:00,0.274,0.3345,0.0605,up,SELL,TLT,86.21499633789062,2026-03-26 18:30:00,55516.94306,2026-12-31T00:00:00Z,0.116,86.11499786376953,1,,,
Will no Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-26T18:00:44+00:00,0.274,0.3345,0.0605,up,SELL,XLF,49.0,2026-03-26 18:30:00,55516.94306,2026-12-31T00:00:00Z,-0.0918,49.04499816894531,0,,,
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-18T19:00:40+00:00,0.31,0.355,0.044999999999999984,up,SELL,VNQ,91.95999908447266,2026-03-18 19:30:00,71859.0923,2026-12-31T00:00:00Z,0.4241,91.56999969482422,1,0.4241,91.56999969482422,1
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-18T19:00:40+00:00,0.31,0.355,0.044999999999999984,up,SELL,TLT,86.95500183105469,2026-03-18 19:30:00,71859.0923,2026-12-31T00:00:00Z,-0.3795,87.28500366210938,0,-0.3795,87.28500366210938,0
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-18T19:00:40+00:00,0.31,0.355,0.044999999999999984,up,SELL,XLF,48.970001220703125,2026-03-18 19:30:00,71859.0923,2026-12-31T00:00:00Z,0.8679,48.54499816894531,1,0.8679,48.54499816894531,1
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-19T14:00:37+00:00,0.315,0.285,-0.030000000000000027,down,BUY,VNQ,91.70999908447266,2026-03-19 14:30:00,71859.0923,2026-12-31T00:00:00Z,-0.338,91.4000015258789,0,-0.06,91.65499877929688,0
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-19T14:00:37+00:00,0.315,0.285,-0.030000000000000027,down,BUY,TLT,87.41000366210938,2026-03-19 14:30:00,71859.0923,2026-12-31T00:00:00Z,0.2631,87.63999938964844,1,0.2116,87.59500122070312,1
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-19T14:00:37+00:00,0.315,0.285,-0.030000000000000027,down,BUY,XLF,48.790000915527344,2026-03-19 14:30:00,71859.0923,2026-12-31T00:00:00Z,-0.1025,48.7400016784668,0,0.3792,48.974998474121094,1
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-19T15:00:42+00:00,0.285,0.25,-0.034999999999999976,down,BUY,VNQ,91.4000015258789,2026-03-19 15:30:00,71859.0923,2026-12-31T00:00:00Z,0.0,91.4000015258789,0,0.2188,91.5999984741211,1
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-19T15:00:42+00:00,0.285,0.25,-0.034999999999999976,down,BUY,TLT,87.63999938964844,2026-03-19 15:30:00,71859.0923,2026-12-31T00:00:00Z,-0.1943,87.4697036743164,0,-0.1654,87.49500274658203,0
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-19T15:00:42+00:00,0.285,0.25,-0.034999999999999976,down,BUY,XLF,48.7400016784668,2026-03-19 15:30:00,71859.0923,2026-12-31T00:00:00Z,-0.0923,48.69499969482422,0,0.4924,48.97999954223633,1
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-20T16:00:35+00:00,0.225,0.255,0.03,up,SELL,VNQ,90.26499938964844,2026-03-20 16:30:00,71859.0923,2026-12-31T00:00:00Z,0.637,89.69000244140625,1,,,
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-20T16:00:35+00:00,0.225,0.255,0.03,up,SELL,TLT,86.0999984741211,2026-03-20 16:30:00,71859.0923,2026-12-31T00:00:00Z,0.3136,85.83000183105469,1,,,
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-20T16:00:35+00:00,0.225,0.255,0.03,up,SELL,XLF,49.28499984741211,2026-03-20 16:30:00,71859.0923,2026-12-31T00:00:00Z,0.3855,49.095001220703125,1,,,
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-23T13:00:38+00:00,0.205,0.255,0.05000000000000002,up,SELL,VNQ,90.08499908447266,2026-03-23 13:30:00,71859.0923,2026-12-31T00:00:00Z,-0.2276,90.29000091552734,0,-0.1554,90.2249984741211,0
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-23T13:00:38+00:00,0.205,0.255,0.05000000000000002,up,SELL,TLT,86.55500030517578,2026-03-23 13:30:00,71859.0923,2026-12-31T00:00:00Z,0.052,86.51000213623047,1,0.156,86.41999816894531,1
Will 1 Fed rate cut happen in 2026?,fed-rate,fed_rate,2026-03-23T13:00:38+00:00,0.205,0.255,0.05000000000000002,up,SELL,XLF,49.564998626708984,2026-03-23 13:30:00,71859.0923,2026-12-31T00:00:00Z,-0.1816,49.654998779296875,0,0.0186,49.55580139160156,1
Will 4 Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-23T20:00:26+00:00,0.066,0.1045,0.03849999999999999,up,SELL,VNQ,89.44000244140625,2026-03-23 19:30:00,77342.67261,2026-12-31T00:00:00Z,0.9951,88.55000305175781,1,0.9951,88.55000305175781,1
Will 4 Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-23T20:00:26+00:00,0.066,0.1045,0.03849999999999999,up,SELL,TLT,86.37999725341797,2026-03-23 19:30:00,77342.67261,2026-12-31T00:00:00Z,0.4746,85.97000122070312,1,0.4746,85.97000122070312,1
Will 4 Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-23T20:00:26+00:00,0.066,0.1045,0.03849999999999999,up,SELL,XLF,49.25,2026-03-23 19:30:00,77342.67261,2026-12-31T00:00:00Z,0.3452,49.08000183105469,1,0.3452,49.08000183105469,1
Will 5 Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-19T15:00:32+00:00,0.0215,0.0545,0.033,up,SELL,VNQ,91.4000015258789,2026-03-19 15:30:00,144761.86473,2026-12-31T00:00:00Z,-0.0,91.4000015258789,0,-0.2188,91.5999984741211,0
Will 5 Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-19T15:00:32+00:00,0.0215,0.0545,0.033,up,SELL,TLT,87.63999938964844,2026-03-19 15:30:00,144761.86473,2026-12-31T00:00:00Z,0.1943,87.4697036743164,1,0.1654,87.49500274658203,1
Will 5 Fed rate cuts happen in 2026?,fed-rate,fed_rate,2026-03-19T15:00:32+00:00,0.0215,0.0545,0.033,up,SELL,XLF,48.7400016784668,2026-03-19 15:30:00,144761.86473,2026-12-31T00:00:00Z,0.0923,48.69499969482422,1,-0.4924,48.97999954223633,0
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-18T13:00:38+00:00,0.135,0.165,0.03,up,SELL,VNQ,92.50430297851562,2026-03-18 13:30:00,43104.3057,2026-12-09T00:00:00Z,-0.0224,92.5250015258789,0,-0.3034,92.78500366210938,0
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-18T13:00:38+00:00,0.135,0.165,0.03,up,SELL,TLT,87.23500061035156,2026-03-18 13:30:00,43104.3057,2026-12-09T00:00:00Z,-0.0401,87.2699966430664,0,-0.2522,87.45500183105469,0
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-18T13:00:38+00:00,0.135,0.165,0.03,up,SELL,XLF,49.310001373291016,2026-03-18 13:30:00,43104.3057,2026-12-09T00:00:00Z,0.0101,49.30500030517578,1,0.1916,49.21549987792969,1
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-20T13:00:44+00:00,0.18,0.13,-0.04999999999999999,down,BUY,VNQ,90.23999786376953,2026-03-20 13:30:00,43104.3057,2026-12-09T00:00:00Z,-0.5319,89.76000213623047,0,-0.6095,89.69000244140625,0
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-20T13:00:44+00:00,0.18,0.13,-0.04999999999999999,down,BUY,TLT,86.2249984741211,2026-03-20 13:30:00,43104.3057,2026-12-09T00:00:00Z,-0.3688,85.90699768066406,0,-0.4581,85.83000183105469,0
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-20T13:00:44+00:00,0.18,0.13,-0.04999999999999999,down,BUY,XLF,48.94900131225586,2026-03-20 13:30:00,43104.3057,2026-12-09T00:00:00Z,-0.1308,48.8849983215332,0,0.2983,49.095001220703125,1
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-20T14:00:44+00:00,0.13,0.165,0.035,up,SELL,VNQ,89.76000213623047,2026-03-20 14:30:00,43104.3057,2026-12-09T00:00:00Z,0.1727,89.6050033569336,1,0.8021,89.04000091552734,1
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-20T14:00:44+00:00,0.13,0.165,0.035,up,SELL,TLT,85.90699768066406,2026-03-20 14:30:00,43104.3057,2026-12-09T00:00:00Z,-0.1956,86.07499694824219,0,0.1362,85.79000091552734,1
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-20T14:00:44+00:00,0.13,0.165,0.035,up,SELL,XLF,48.8849983215332,2026-03-20 14:30:00,43104.3057,2026-12-09T00:00:00Z,-0.5523,49.154998779296875,0,-0.225,48.994998931884766,0
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-20T17:00:39+00:00,0.195,0.235,0.03999999999999998,up,SELL,VNQ,89.69000244140625,2026-03-20 17:30:00,43104.3057,2026-12-09T00:00:00Z,0.7247,89.04000091552734,1,,,
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-20T17:00:39+00:00,0.195,0.235,0.03999999999999998,up,SELL,TLT,85.83000183105469,2026-03-20 17:30:00,43104.3057,2026-12-09T00:00:00Z,0.0466,85.79000091552734,1,,,
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-20T17:00:39+00:00,0.195,0.235,0.03999999999999998,up,SELL,XLF,49.095001220703125,2026-03-20 17:30:00,43104.3057,2026-12-09T00:00:00Z,0.2037,48.994998931884766,1,,,
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-20T18:00:50+00:00,0.235,0.2,-0.034999999999999976,down,BUY,VNQ,89.04000091552734,2026-03-20 18:30:00,43104.3057,2026-12-09T00:00:00Z,-0.3145,88.76000213623047,0,,,
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-20T18:00:50+00:00,0.235,0.2,-0.034999999999999976,down,BUY,TLT,85.79000091552734,2026-03-20 18:30:00,43104.3057,2026-12-09T00:00:00Z,0.0816,85.86000061035156,1,,,
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-20T18:00:50+00:00,0.235,0.2,-0.034999999999999976,down,BUY,XLF,48.994998931884766,2026-03-20 18:30:00,43104.3057,2026-12-09T00:00:00Z,0.2143,49.099998474121094,1,,,
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-23T13:00:41+00:00,0.275,0.245,-0.030000000000000027,down,BUY,VNQ,90.08499908447266,2026-03-23 13:30:00,43104.3057,2026-12-09T00:00:00Z,0.2276,90.29000091552734,1,0.1554,90.2249984741211,1
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-23T13:00:41+00:00,0.275,0.245,-0.030000000000000027,down,BUY,TLT,86.55500030517578,2026-03-23 13:30:00,43104.3057,2026-12-09T00:00:00Z,-0.052,86.51000213623047,0,-0.156,86.41999816894531,0
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-23T13:00:41+00:00,0.275,0.245,-0.030000000000000027,down,BUY,XLF,49.564998626708984,2026-03-23 13:30:00,43104.3057,2026-12-09T00:00:00Z,0.1816,49.654998779296875,1,-0.0186,49.55580139160156,0
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-23T15:00:33+00:00,0.225,0.185,-0.04000000000000001,down,BUY,VNQ,89.76000213623047,2026-03-23 15:30:00,43104.3057,2026-12-09T00:00:00Z,0.234,89.97000122070312,1,-0.3565,89.44000244140625,0
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-23T15:00:33+00:00,0.225,0.185,-0.04000000000000001,down,BUY,TLT,85.95500183105469,2026-03-23 15:30:00,43104.3057,2026-12-09T00:00:00Z,0.2908,86.20500183105469,1,0.4944,86.37999725341797,1
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-23T15:00:33+00:00,0.225,0.185,-0.04000000000000001,down,BUY,XLF,49.22999954223633,2026-03-23 15:30:00,43104.3057,2026-12-09T00:00:00Z,0.2539,49.35499954223633,1,0.0406,49.25,1
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-23T16:00:33+00:00,0.185,0.125,-0.06,down,BUY,VNQ,89.97000122070312,2026-03-23 16:30:00,43104.3057,2026-12-09T00:00:00Z,0.2834,90.2249984741211,1,-1.5783,88.55000305175781,0
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-23T16:00:33+00:00,0.185,0.125,-0.06,down,BUY,TLT,86.20500183105469,2026-03-23 16:30:00,43104.3057,2026-12-09T00:00:00Z,0.2494,86.41999816894531,1,-0.2726,85.97000122070312,0
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-23T16:00:33+00:00,0.185,0.125,-0.06,down,BUY,XLF,49.35499954223633,2026-03-23 16:30:00,43104.3057,2026-12-09T00:00:00Z,0.4069,49.55580139160156,1,-0.5572,49.08000183105469,0
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-23T17:00:54+00:00,0.125,0.16,0.035,up,SELL,VNQ,90.2249984741211,2026-03-23 17:30:00,43104.3057,2026-12-09T00:00:00Z,0.4655,89.80500030517578,1,1.8565,88.55000305175781,1
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-23T17:00:54+00:00,0.125,0.16,0.035,up,SELL,TLT,86.41999816894531,2026-03-23 17:30:00,43104.3057,2026-12-09T00:00:00Z,0.0174,86.40499877929688,1,0.5207,85.97000122070312,1
